"Respondent","brand2","brand3","brand4","brand5","price2","price3","price4","price5"
2,0.7008479728,0.637842351,0.6447076826,0.8487577322,0.4579707853,0.4888326272,0.4928230032,0.4903061248
4,0.7541801476,0.8561302287,0.7954518881,0.8276589426,0.4723851502,0.5317778437,0.5420403429,0.477160857
5,0.8293509203,0.8597994246,0.5981672293,0.7880132985,0.4751635702,0.4984654516,0.4850241544,0.4757065775
6,0.8414527223,0.7839646072,0.5946523912,0.8814148771,0.4753708968,0.5257213582,0.5416336755,0.5723518848
8,0.7837424861,0.835798876,0.642861988,0.8263398803,0.4456800486,0.5072901779,0.5404051236,0.5122801778
10,0.7920723903,1.0037051,0.5382059208,1.001179952,0.4534811433,0.5296441796,0.5152887374,0.4894395822
11,0.8193455053,0.8560122647,0.7820836885,0.9184813621,0.4905223524,0.5400651878,0.616258898,0.5357086242
12,0.7121017172,0.7108825554,0.6070979563,0.9396746392,0.4768770336,0.5650927465,0.5759505429,0.5483701217
13,0.7800158201,0.7931049934,0.6502003702,0.9126197378,0.4799755291,0.5022786365,0.5123927188,0.5153374799
16,0.7699844592,0.8795690385,0.6360141056,0.9206266703,0.4372137039,0.4884365449,0.5163568842,0.5250682129
17,0.8510253889,0.8363646531,0.6473230849,1.046055557,0.455416487,0.5332339654,0.5750738034,0.544064391
18,0.7046819543,0.6245456685,0.7263483016,0.8975837871,0.4790803015,0.5302259811,0.575748827,0.5587933407
21,0.8661892871,0.8155404301,0.6991199087,0.8293530598,0.4518519405,0.5471931941,0.5601601881,0.548022051
22,0.8419089293,0.9793706483,0.64729962,0.9558432069,0.4570513199,0.5078000262,0.580287589,0.5358727433
25,0.8685838296,0.8728001034,0.6411503827,0.7991004872,0.4388133139,0.4915140901,0.5192691527,0.5056392331
27,0.6994693631,0.8393676896,0.5523599547,0.8096487743,0.4446064874,0.5054718254,0.543275931,0.5157025361
33,0.8851364588,0.7589377294,0.6783046906,0.8493415827,0.4904324851,0.5569245449,0.5950222216,0.5261121103
36,0.8082323973,0.7531540862,0.5898546263,0.9536204212,0.4674240131,0.5159117182,0.4943377728,0.4607603387
38,0.8778076311,0.7722056329,0.7571031578,1.042557156,0.501092657,0.5479140171,0.5877282849,0.557648678
40,0.7156611649,0.6921159398,0.6812209018,1.070895692,0.4708467637,0.5444299803,0.558247505,0.5673769631
43,0.6915462906,0.7325693783,0.7255722459,0.9629339345,0.4541711026,0.4801853483,0.508626359,0.4981579695
44,0.7996468342,0.9680266999,0.6718666356,0.9224762778,0.4586952075,0.5283987928,0.5171703751,0.4972205388
47,0.6962697925,0.7571815005,0.6042046294,0.823979698,0.4425534581,0.5386787268,0.576007477,0.5441884055
51,0.8007727893,0.8948729829,0.6709567836,0.7964459223,0.4836378562,0.5363376785,0.5730881271,0.5712955603
54,0.7409400251,0.7511718704,0.7133750266,0.8484069925,0.428377043,0.5374730663,0.5324518815,0.5305654489
56,0.7894624512,0.9024611394,0.7220828079,1.013675649,0.4840593049,0.5564566437,0.5507672972,0.5720373198
57,0.825687006,0.7977054169,0.6812275771,0.8247293022,0.4487759653,0.537246453,0.5626954582,0.5606649446
61,0.8280561644,0.8548710916,0.6392178348,0.8402376951,0.4836156704,0.5626382531,0.5656462916,0.5672378321
65,0.7912469326,0.9052871738,0.6447146406,0.9695171998,0.4965778799,0.5640986089,0.6410031331,0.5632434314
68,0.8567870828,0.7483363249,0.5965752119,0.8845163487,0.4436552722,0.4823841999,0.5049835304,0.4969348222
70,0.8488489883,0.9416093716,0.6130283879,0.8274592654,0.4503270721,0.5416350698,0.5635517259,0.527093459
71,0.7912150172,0.8351035872,0.7090103098,0.8447357797,0.4375136755,0.498515212,0.514334646,0.4888331435
73,0.7451420668,0.7580779048,0.6381587287,0.8985442641,0.4561890685,0.5121963955,0.5405256729,0.5269083814
74,0.7600505835,0.810186116,0.6721869674,0.9523718539,0.4572363707,0.4915428994,0.5204558617,0.519251177
76,0.9007145449,0.864180704,0.6143365113,1.073278232,0.5046069804,0.5483467924,0.5785615532,0.5471397308
77,0.7405785453,0.8026432596,0.6505973211,0.8719653756,0.4582304198,0.5263995702,0.5388461249,0.5079832063
80,0.767674518,0.7350553039,0.7344428834,1.024080428,0.4895162831,0.5260492091,0.5562661124,0.5074133406
82,0.7967625048,0.6743472445,0.6102515348,0.955253807,0.4847664072,0.5657537577,0.555156859,0.5360627029
84,0.8327348575,0.8298445976,0.7441395878,1.054837464,0.4571929056,0.5176305041,0.5639309969,0.5274748881
85,0.8476297917,1.034356127,0.7125260289,0.8925878021,0.489171151,0.5406999859,0.5827411719,0.5589073016
88,0.7689760237,0.9111539859,0.6236425712,0.9061157663,0.4577462305,0.512164223,0.5538878982,0.5240244525
90,0.7428067352,0.7530499662,0.6762332112,0.867798636,0.4602179117,0.5166341019,0.5252020227,0.5495359568
