"Respondent","wtp1","price"
1,2.279622924,-0.7241529038
2,2.708902842,-0.7279722352
3,2.616415197,-0.6983835285
4,2.287747736,-0.9581287382
5,2.394629158,-0.6742934551
6,2.408286281,-0.9856682051
7,2.357163637,-0.7651408909
8,2.540394605,-0.6355385682
9,2.561163949,-0.7087026105
10,2.339329778,-0.6818995436
11,2.78377286,-0.7056582041
12,2.555939559,-0.8237981095
13,2.343469427,-0.8171409886
14,2.620562364,-0.7054810315
15,2.737285824,-0.8107318709
16,2.440047784,-0.9395357512
17,2.516018933,-0.7334635811
18,2.676701817,-0.7502725279
19,2.5084382,-1.007121136
20,2.62041428,-0.6493767037
21,2.620361444,-0.6840044237
22,2.413117067,-0.6857752543
23,2.445817351,-0.651015802
24,2.517374624,-0.6500066573
25,2.490917,-0.7301120396
26,2.312384604,-1.036882787
27,2.464009177,-1.042338782
28,2.37595673,-0.895607981
29,2.075264419,-0.8255065448
30,2.371772061,-0.8233521923
31,2.783083339,-0.7197812784
32,2.144200092,-0.7323256355
33,2.188291457,-0.7541611331
34,2.837662286,-0.7713964931
35,2.297799586,-0.9571643002
36,2.488156175,-0.9844448743
37,2.522695533,-0.8613202308
38,2.759948076,-0.7229720073
39,2.45275773,-0.7282403776
40,2.680099637,-0.7509269218
41,2.317811626,-0.8448149526
42,2.726784254,-0.7053329884
43,2.652035826,-0.8391721009
44,2.329159302,-0.6710922268
45,2.580686104,-0.8334124808
46,2.641019863,-0.8624243475
47,2.190627968,-0.7621977355
48,2.467453138,-0.682788105
49,2.387761067,-0.7741402065
50,2.563722226,-0.694427347
51,2.488144149,-0.6476745469
52,2.300968191,-0.7192118694
53,2.43403003,-0.7887898923
54,2.612961611,-0.6779641753
55,2.245049533,-0.7909913769
56,2.593523233,-0.9357740515
57,2.60071692,-0.6975449531
58,2.307291675,-0.6472262738
59,2.822035812,-0.9155482567
60,2.519215406,-0.6594031502
61,2.472723112,-0.8316861195
62,2.559192772,-0.7603443823
63,2.647319994,-0.8794842883
64,2.660313149,-0.9212929388
65,2.385575918,-0.7005528069
66,2.639509907,-0.6747093775
67,2.635142897,-0.685597424
68,2.551689832,-0.6675154839
69,2.534034494,-0.7287285759
70,2.476221242,-0.6911148079
71,2.178295917,-0.879149674
72,2.282826102,-0.9287923493
73,2.134662489,-0.6995579586
74,2.369558312,-0.7856762083
75,2.077719436,-0.8524717157
76,2.629039566,-0.7127916915
77,2.40087397,-0.8020906242
78,2.137692413,-0.7798403979
79,2.357569846,-0.7425073633
80,2.4531097,-0.9165622548
81,2.365827879,-0.7308908297
82,2.555238805,-0.8492525364
83,2.486513623,-0.7956961453
84,2.592424474,-0.8373198813
85,2.689401793,-0.7111402255
86,2.593184991,-0.6511434768
87,2.420884713,-0.8444779495
88,2.347696812,-0.7528469748
89,2.570747612,-0.8972351092
90,2.384304507,-0.7047363973
91,2.567927501,-0.8366964536
92,2.582627294,-0.749908605
93,2.679852405,-0.6659291054
94,2.279368022,-0.6531773986
95,2.292299886,-0.706959255
96,2.442998015,-0.8250074109
97,2.581507977,-0.7971966344
98,2.328534242,-0.6765147031
99,2.398183888,-0.8448061931
100,2.302073117,-0.7028817375
101,2.512856231,-0.7761212682
102,2.783759457,-0.7723406523
103,2.631415765,-0.8209510521
104,2.509568975,-0.6555691101
105,2.694258034,-0.7603709105
106,2.459779286,-0.7274380435
107,2.62973289,-0.8413281428
108,2.535875249,-0.664373708
109,2.530156991,-0.680109562
110,2.589609152,-0.8995716863
111,2.599284852,-0.8870079844
112,2.719281024,-0.7210421705
113,2.489953853,-0.7578833132
114,2.724981884,-0.869294603
115,2.660687228,-0.7103521152
116,2.422253774,-0.7397759747
117,2.596764534,-0.6865136218
118,2.576141019,-0.7940831574
119,2.505375993,-0.7145769857
120,2.479466103,-0.6671176651
121,2.566981597,-0.7930887681
122,2.528130023,-0.6906448897
123,2.615500831,-0.785361211
124,2.514296862,-0.6548110981
125,2.514965187,-0.6540931815
126,2.087651343,-0.6699201448
127,2.579328427,-0.6742032773
128,2.66683159,-0.6966944609
129,2.459606181,-0.6545689943
130,2.55478587,-0.7608238631
131,2.385798483,-0.8067441631
132,2.238994179,-0.7459422269
133,2.577506987,-0.708421453
134,2.213622712,-0.8427424011
135,2.461934427,-0.9611300254
136,2.626738016,-0.6517967426
137,2.660424197,-0.8595429124
138,2.592939101,-0.9070094073
139,2.561889609,-0.7140853316
140,2.725690061,-0.8709860534
141,2.59116628,-0.7644261104
142,2.634267333,-0.7086997825
143,2.543672676,-0.6926953345
144,2.185839509,-0.9635117596
145,2.571886143,-0.8382505499
146,2.744299414,-0.7792702604
147,2.608124235,-0.7979377763
148,2.612320404,-0.7470379988
149,2.645611724,-0.8856348327
150,2.599830634,-1.046477874
151,2.580113244,-0.8358150175
152,2.406394877,-0.681120259
153,2.408608413,-0.6902504194
154,2.318823747,-0.7228864869
155,2.348585021,-0.7099156042
156,2.557902173,-0.6829154726
157,2.563755952,-0.7473667312
158,2.530260132,-0.7602579757
159,2.668188102,-0.790430094
160,2.552430122,-0.8365409279
161,2.345932204,-0.7531034407
162,2.393301368,-0.697279112
163,2.576702931,-1.008678995
164,2.213824916,-0.8321815724
165,2.529676366,-0.6971016797
166,2.33533931,-0.809759684
167,2.784915317,-0.7016909453
168,2.478090149,-0.7958180074
169,2.550612333,-0.7760596299
170,2.363259666,-0.6430036593
171,2.58750629,-0.6612378445
172,2.432118532,-1.015677963
173,2.758723964,-0.8432979189
174,2.464603214,-0.6719185744
175,2.483325194,-0.7025172475
176,2.456910813,-0.7702351024
177,2.624606285,-0.7758059198
