"iteration","brand2","brand3","brand4","brand5","price2","price3","price4","price5"
5001,1.774126008,-2.528235537,-1.176399733,-5.619271594,-1.109857304,-1.816844067,-2.753631078,-3.420684448
5002,1.832701566,-2.468791386,-1.162082028,-5.5510011,-1.118834576,-1.795596603,-2.752872429,-3.507248789
5003,1.889511592,-2.543923175,-1.149307578,-5.542069412,-1.078959003,-1.773308083,-2.707567461,-3.496947006
5004,1.905987974,-2.518387993,-1.122327569,-5.818967826,-1.080055373,-1.814762247,-2.711204978,-3.420847568
5005,1.895220741,-2.57424249,-1.235973492,-5.513473991,-1.161335822,-1.839875692,-2.718363284,-3.459450707
5006,1.871313125,-2.444008793,-1.18417786,-5.537294681,-1.191241537,-1.855509347,-2.738406273,-3.475833124
5007,1.83151688,-2.48703449,-1.129086765,-5.520073291,-1.13812307,-1.806706732,-2.67979673,-3.460671518
5008,1.836167291,-2.504008327,-1.231741685,-5.554197077,-1.13864764,-1.83461629,-2.755291653,-3.46329445
5009,1.945154953,-2.574162044,-1.312746544,-5.511868895,-1.233893813,-1.889736173,-2.809997289,-3.501656453
5010,1.879564978,-2.672081528,-1.263837568,-5.542369942,-1.120100427,-1.844032801,-2.793999288,-3.477926763
5011,1.797227658,-2.406497828,-1.239768563,-5.322011279,-1.141903959,-1.842282914,-2.791048038,-3.463576664
5012,1.963134399,-2.448583738,-1.305207662,-5.415628771,-1.144099289,-1.908412909,-2.844786925,-3.49846138
5013,1.828272417,-2.469447248,-1.299906497,-5.290716921,-1.193166685,-1.937385569,-2.848639107,-3.507494497
5014,1.976715487,-2.532872538,-1.381620799,-5.409794294,-1.220175065,-1.973824864,-2.906557259,-3.499893347
5015,1.912213941,-2.584844,-1.24644386,-5.501989434,-1.244535763,-1.936655971,-2.816155607,-3.475508924
5016,1.949451387,-2.676903993,-1.240202346,-5.519234425,-1.201388314,-1.910931699,-2.792236228,-3.448005809
5017,1.97757784,-2.650540633,-1.178772746,-5.652652657,-1.118725431,-1.872340501,-2.800445397,-3.472922371
5018,1.910970159,-2.693130778,-1.262553204,-5.453776173,-1.143539197,-1.863813896,-2.833741476,-3.528498921
5019,1.836438858,-2.474113352,-1.226225636,-5.37879368,-1.239752481,-1.906252282,-2.817036489,-3.512991953
5020,2.027740358,-2.744095954,-1.250234584,-5.488251865,-1.19800913,-1.91418306,-2.814594964,-3.577074766
5021,1.794708805,-2.402573821,-1.157564125,-5.548282936,-1.111864174,-1.846636378,-2.789742203,-3.510185469
5022,1.944857834,-2.605200554,-1.238335172,-5.448717574,-1.2206555,-1.891414143,-2.832009162,-3.563861726
5023,1.954573271,-2.569378949,-1.331477198,-5.364111645,-1.253571602,-1.951611727,-2.84601189,-3.506485251
5024,1.912170293,-2.706208724,-1.132007072,-5.517246769,-1.210423978,-1.866113379,-2.732125807,-3.513066562
5025,1.895706238,-2.620648744,-1.152698033,-5.503549425,-1.203632572,-1.895234464,-2.734425392,-3.494644592
5026,2.001323334,-2.780720192,-1.126421211,-5.60229616,-1.237759912,-1.92541767,-2.741785702,-3.485133883
5027,1.775419847,-2.531545395,-1.17254841,-5.270357963,-1.201614637,-1.908205217,-2.786020697,-3.526452265
5028,1.894483748,-2.470534245,-1.240646599,-5.594711804,-1.266653648,-1.967582825,-2.803038179,-3.462281585
5029,1.936878547,-2.73146042,-1.145939161,-5.542073366,-1.219624888,-1.889859886,-2.756514452,-3.506966491
5030,1.756824851,-2.435364697,-1.196715186,-5.184529984,-1.222941256,-1.863479464,-2.793425487,-3.58580197
5031,1.859133958,-2.582249382,-1.153249836,-5.481719317,-1.222952164,-1.899591016,-2.76344607,-3.510473945
5032,1.926757035,-2.579206677,-1.206841258,-5.455021847,-1.251000532,-1.95142472,-2.803660254,-3.550295827
5033,1.896447245,-2.586268674,-1.276239001,-5.09053261,-1.294810149,-1.96697911,-2.877130391,-3.571746022
5034,1.93325754,-2.478777283,-1.324888515,-5.339695014,-1.216983679,-1.941917377,-2.878164206,-3.594974925
5035,2.037765875,-2.524171678,-1.343021497,-5.364324296,-1.281436065,-1.99578284,-2.90473885,-3.538193625
5036,2.061682389,-2.677781811,-1.277053949,-5.285287124,-1.291934668,-1.957607346,-2.829082994,-3.554537894
5037,1.920373058,-2.540332117,-1.268517788,-5.341063147,-1.18492003,-1.916931456,-2.804540936,-3.531215511
5038,2.131681127,-2.515698855,-1.305176301,-5.495035353,-1.279916825,-2.038877535,-2.909018128,-3.550319726
5039,1.960979757,-2.463058936,-1.144501371,-5.403652526,-1.187146499,-1.918210855,-2.860092839,-3.588029922
5040,2.016619214,-2.550801716,-1.232978557,-5.426142071,-1.251534229,-2.00447682,-2.847833483,-3.503430353
5041,2.109721783,-2.759398442,-1.395184782,-5.469274189,-1.301196328,-2.007779174,-2.926742823,-3.610920522
5042,2.055513717,-2.580289632,-1.207043632,-5.441341813,-1.309927549,-2.03926372,-2.877043574,-3.573814758
5043,2.029893954,-2.575682237,-1.241594252,-5.457099778,-1.255390893,-2.022848423,-2.850868702,-3.543180818
5044,1.931571933,-2.564070438,-1.208268885,-5.391743235,-1.200450923,-1.931263702,-2.787340046,-3.552220413
5045,1.96767707,-2.496007449,-1.296866018,-5.4541161,-1.201282147,-1.999341461,-2.835645323,-3.564819684
5046,2.050202113,-2.600984423,-1.360205867,-5.410683829,-1.268473572,-2.042775714,-2.903488141,-3.605330033
5047,2.020165976,-2.63649254,-1.328098967,-5.479085387,-1.255202741,-2.01648903,-2.839369386,-3.565454417
5048,1.853399368,-2.443911849,-1.258846238,-5.309539258,-1.172487808,-1.962453638,-2.822119034,-3.61997577
5049,1.772185748,-2.456317651,-1.188594883,-5.396153683,-1.137715888,-1.903146685,-2.758201154,-3.563761085
5050,1.959467505,-2.573868001,-1.304006678,-5.330533287,-1.186090311,-1.960738033,-2.86719878,-3.595315568
5051,1.892570508,-2.558391362,-1.230594997,-5.475913263,-1.198898241,-1.975511919,-2.818420842,-3.533681281
5052,2.040601567,-2.755013715,-1.310025683,-5.230155018,-1.308799201,-2.006051939,-2.834457855,-3.545708211
5053,2.06902207,-2.751764213,-1.341061668,-5.383847051,-1.229481361,-1.974667493,-2.840785159,-3.562974134
5054,2.06671485,-2.835288395,-1.426646405,-5.313168004,-1.2697461,-1.976455432,-2.837217683,-3.576581039
5055,1.872195656,-2.58238261,-1.286726798,-5.254950148,-1.222621545,-1.947533193,-2.805376995,-3.596589252
5056,1.948892362,-2.638132587,-1.349774185,-5.461230013,-1.171569662,-1.94304104,-2.766398466,-3.533683206
5057,1.919609063,-2.667525611,-1.38812022,-5.261820553,-1.260549388,-1.972390651,-2.843073374,-3.607807485
5058,1.943817553,-2.61506589,-1.352059953,-5.308275269,-1.267161727,-1.960573654,-2.806571605,-3.594877212
5059,1.850704188,-2.533794881,-1.304183495,-5.263609934,-1.266552457,-1.977548812,-2.77926599,-3.576769418
5060,2.087277025,-2.609126456,-1.474068242,-5.307980843,-1.271151834,-1.981408757,-2.878783659,-3.57230492
5061,1.906167465,-2.618329244,-1.298250401,-5.346453953,-1.252888852,-1.932617521,-2.783936224,-3.525120135
5062,2.073467886,-2.608964116,-1.489560438,-5.317077686,-1.246978399,-1.937548141,-2.829181293,-3.592968978
5063,1.93713744,-2.659463078,-1.401299358,-5.045472388,-1.203084701,-1.941306597,-2.810281199,-3.581794356
5064,2.143374835,-2.724420765,-1.499401405,-5.304672381,-1.276658578,-1.976704569,-2.905291582,-3.631666842
5065,1.914873247,-2.617406281,-1.354864001,-5.063065606,-1.269000752,-1.9458236,-2.790726283,-3.567177947
5066,1.934091197,-2.628435508,-1.418732674,-5.071185938,-1.207407034,-1.943315595,-2.891049174,-3.621561387
5067,1.850272903,-2.599246684,-1.321206723,-5.238584038,-1.224369193,-1.90919244,-2.782940429,-3.579837047
5068,2.08544163,-2.623819158,-1.438031564,-5.457261954,-1.258594377,-1.974332952,-2.883140275,-3.558020749
5069,1.967990392,-2.610050335,-1.38157399,-5.231283619,-1.238179464,-1.904722177,-2.804653035,-3.580956982
5070,2.026804719,-2.615417839,-1.425155563,-5.252368635,-1.291315627,-1.95467744,-2.837040385,-3.561924277
5071,2.130159941,-2.678601714,-1.479241399,-5.382264144,-1.330434989,-1.969293235,-2.874010095,-3.569567813
5072,2.052854409,-2.787290027,-1.380835154,-5.331715686,-1.244324552,-1.963259643,-2.839507913,-3.586051226
