"iteration","Bx","By","EC"
5001,0.4700116353,-0.4594148857,0
5002,0.4682557171,-0.4963230072,0
5003,0.4675491458,-0.4858834495,0
5004,0.4683415052,-0.4771437295,0
5005,0.4665248425,-0.4709441907,0
5006,0.476696179,-0.4623890586,0
5007,0.4998766614,-0.4694472568,0
5008,0.4821945745,-0.4913379286,0
5009,0.4853765692,-0.4803208437,0
5010,0.5133345394,-0.4707072439,0
5011,0.454817657,-0.4784312559,0
5012,0.4534101418,-0.4458788265,0
5013,0.4683574546,-0.4474711826,0
5014,0.4913940952,-0.4877352903,0
5015,0.4875091917,-0.456267047,0
5016,0.4474964505,-0.4731993318,0
5017,0.4773164783,-0.4658819604,0
5018,0.4634882173,-0.4596651297,0
5019,0.4932101382,-0.4940034965,0
5020,0.4827433829,-0.4511008867,0
5021,0.4824799591,-0.4611590386,0
5022,0.4914146642,-0.4552769408,0
5023,0.4876736549,-0.4783409069,0
5024,0.4584494449,-0.4860268924,0
5025,0.4805350778,-0.4718253983,0
5026,0.4862885813,-0.4873728416,0
5027,0.4774591591,-0.4828125588,0
5028,0.465814257,-0.4715817371,0
5029,0.4890450019,-0.4635068737,0
5030,0.487633311,-0.4773592285,0
5031,0.49050649,-0.4805159873,0
5032,0.4701854333,-0.4697851629,0
5033,0.4717208606,-0.48690795,0
5034,0.5035716566,-0.457868137,0
5035,0.4869863863,-0.4467018208,0
5036,0.4980295109,-0.4504047202,0
5037,0.489796512,-0.4744273032,0
5038,0.4717207979,-0.4422173562,0
5039,0.4771930154,-0.450961538,0
5040,0.4481219802,-0.455835812,0
5041,0.4612855691,-0.4621199803,0
5042,0.4824411504,-0.4528542785,0
5043,0.4483399931,-0.4635298286,0
5044,0.4499578197,-0.4565506039,0
5045,0.4811618037,-0.4669997317,0
5046,0.4795704476,-0.458522878,0
5047,0.4878736314,-0.4464463696,0
5048,0.4753618731,-0.4507533249,0
5049,0.4951438518,-0.4623130232,0
5050,0.5020985085,-0.4520061937,0
5051,0.4728038918,-0.4503020596,0
5052,0.4726360984,-0.4658479404,0
5053,0.4669672243,-0.4640329583,0
5054,0.4457699798,-0.4612476106,0
5055,0.4664455581,-0.4293923915,0
5056,0.4900746022,-0.4290611988,0
5057,0.4854838447,-0.4447570577,0
5058,0.4492298173,-0.4528578527,0
5059,0.4693032397,-0.4341191985,0
5060,0.4603741016,-0.4404185152,0
5061,0.4746359746,-0.448685131,0
5062,0.4416068284,-0.4453831795,0
5063,0.4425270427,-0.4344756882,0
5064,0.4903479072,-0.4627917188,0
5065,0.4504495449,-0.4791017361,0
5066,0.4367392318,-0.4559403633,0
5067,0.4605368182,-0.4452223503,0
5068,0.4417613133,-0.4442306306,0
5069,0.4469413231,-0.4547375263,0
5070,0.4427681595,-0.4664090365,0
5071,0.4526907386,-0.4379132597,0
5072,0.4735331742,-0.4613781519,0
5073,0.4618220144,-0.4606718771,0
5074,0.4627396217,-0.4477359747,0
5075,0.4586175141,-0.4261721176,0
5076,0.4559212255,-0.4536519313,0
5077,0.4515141463,-0.433617846,0
5078,0.4373096738,-0.4557938571,0
5079,0.4654623053,-0.4726723126,0
5080,0.4718005069,-0.4249964011,0
5081,0.445620812,-0.4289862532,0
5082,0.46445189,-0.4353264003,0
5083,0.4526893117,-0.4522299454,0
5084,0.4394242535,-0.4515097309,0
5085,0.4471735615,-0.4599163165,0
5086,0.4729612831,-0.4537747673,0
5087,0.4726394054,-0.4593429448,0
5088,0.4682982092,-0.4935163579,0
5089,0.465466897,-0.4582837698,0
5090,0.455952865,-0.4806980005,0
5091,0.4434630259,-0.4555292581,0
5092,0.4555177057,-0.4253549274,0
5093,0.4807491091,-0.4291391897,0
5094,0.4844664983,-0.4570780425,0
5095,0.4410111462,-0.456580295,0
5096,0.4606967224,-0.4366316949,0
5097,0.46624812,-0.4538935799,0
5098,0.4496046464,-0.4272999497,0
5099,0.4700067262,-0.4268960323,0
